candidate,dataset,subject,edge_index,dense_samples,dense_length_mm,chord_length_mm,relative_length_error,mean_approximation_error_mm,max_approximation_error_mm,median_radius_mm,max_error_over_median_radius,containment_fraction
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,0,5,3.3717878315721794,3.3419494939144982,0.0088494113948351,0.10001946305713713,0.20573123905527288,0.4687499701976776,0.4388933378886691,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,1,7,5.454376809586972,5.439069875356221,0.0028063580432957772,0.07249481023728846,0.14807467426939055,0.4687499701976776,0.31589265852528087,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,2,3,1.529294494461805,1.5209739645004685,0.005440763692976393,0.026530305445351825,0.07959091633605547,0.6629125652155398,0.12006246451246136,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,3,3,1.5344998154647962,1.529707678920017,0.00312293067518398,0.020179662663779883,0.06053898799133965,0.6629125652155398,0.09132273420048384,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,4,5,3.094746305493706,3.0840004162351695,0.003472300537029737,0.055732005378924684,0.11365430288830707,0.6629125652155398,0.17144689790478393,0.9565217391304348
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,5,7,4.0121749933200785,3.971511670892819,0.010134982271451353,0.1298335493634048,0.2319186131383364,0.6629125652155398,0.3498479668475287,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,6,5,3.1279070697111298,3.088205154895035,0.012692805102985824,0.10996281174378311,0.2122974838216407,0.6629125652155398,0.32024959996438473,0.95
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,7,3,1.9953239505974238,1.9927644265183482,0.0012827611668317408,0.016838475839327693,0.050515427517983075,0.4687499701976776,0.10776625222329102,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,8,5,2.8484153391005274,2.801463218704322,0.016483593439372536,0.11016772897194334,0.2236486291859986,0.6629125652155398,0.337372741023971,1.0
optimal_radius_0p5x,ixi,IXI068-Guys-0756-MRA_IXI-Guys,9,5,2.155984224228349,2.0917131729134653,0.029810538775109533,0.11711855268223903,0.23084966860331232,0.6629125652155398,0.34823546982889625,1.0
